Question,Bot Response,Expected Response,Jaccard Similarity,BLEU Score,ROUGE-1,ROUGE-2,ROUGE-L,Response Time,,Results for accuracy on second run for DialoGPT-based chatbot ,min,low_1,med,upp_3,max,,Results for accuracy on average for DialoGPT-based chatbot ,min,low_1,med,upp_3,max,,low_1,med
"Hi I am 39 years old and have flu like symptoms as of yesterday. Runny nose, sore throat. No fever yet. I returned from Germany 19 days ago. Should I get tested for cov19?",No need to test yet. The virus has declined in intensity over the last few weeks. You will mostly be fine. You will have better luck on this forum. Good luck. Remeber this forum is for answering general medical questions. Don't go here expecting to be treated.,If you get fever yes. but from what we know it may bee a little late to get the chines virus after so many days. Monitor tempreture.,0.6857142857,9.16E-232,0.09090908613,0,0.06060605583,16.4345161,,,,,,,,,,,,,,,,,
If you have wolf Parkinson white syndrome does this make you more of a risk with Covid 19?,Not at all. I have had zero symptoms from what I have known. I have only been in close contact with people with Parkinson. I have not had any symptoms that I know of. I have met with patients that have had Parkinson but have not caused any symptoms. I have known patients that have been infected but not caused any problems..... Do you have any symptoms that you,"Avoid cold/ice... Though untreated WPW Syndrome can be regarded as pre-existing chronic condition, there is no current evidence that one is more susceptible to Covid-19, an infectious disease mostly transmitted through Respiratory Fluid Droplets. Best to follow WHO/CDC guideline on hygiene. Plus avoid cold/ice  drinks/foods. Drink warm water/tea, even chicken soup. Aleve or ibuprofen can be helpful for fever/soreness.",0.5555555556,6.32E-232,0.02325580928,0,0.02325580928,21.2861396,,,,,,,,,,,,,,,,,
Criteria for COVID test?,"If you have a high fever and are otherwise healthy, you should definitely get tested for COVID-19. It is a serious infection and one that should be treated promptly and properly. If you do not have a fever, then no need for testing.. Unless you have a close contact that has tested positive, in which case you should definitely consult your doctor.. Otherwise, no testing.. Drink plenty of fluids orally and keep yourself hydrated. Ask","Real vs. textbook. Real-life criteria is different because we don't have enough tests, supplies, or medical staff around the world at this time (March 2020). Textbook criteria are  suspected COVID in hospitalized persons or in those with underlying medical conditions; or persons who got symptoms less than 14 days after (1) contact with a suspect or confirmed COVID patient or (2) travel through high-risk COVID area.",0.6808510638,9.69E-232,0.1100917381,0,0.05504586656,24.1257689,,,,,,,,,,,,,,,,,
"I have been feeling sick for a couple of days now and tried self medication but does not seem to help. I suffer from Polycystic Kidney disease, low blood pressure, Anemic, Endometriosis, Chronic sinus.",Have you tried a pacemaker or an X Ray machine to see if there is anything wrong with the heart? If so what is the prognosis? Do you have access to a telephonic consult? And what is your diagnosis? How long must the,"Screen sputum. You may have a bacterial illness such as bronchitis, pneumonia or a sinus infection.  Your PCP may collect sputum, screen for Strep/influenza. COVID-19 is usually associated with a dry cough, but secondary infection may occur. Please see your PCP.",0.5348837209,1.20E-231,0.199999995,0,0.1714285664,14.6599888,,,,,,,,,,,,,,,,,
"I have had a runny nose and have been coughing and have had on and off headaches. I went to the doctor the first time, he gave me an antibiotic and i got worse then I went back a and he gave me a different one but it seems I still have these symptoms?",Sounds like a viral respiratory tract infection. Try to do a chest x ray and CBC (complete blood count). If both these are normal then no need to worry much. If you are concerned about COVID,"Likely a virus.   What you describe is likely caused by a virus, antibiotics  don't do anything against viruses.  Would you like to video or text chat with me?",0.55,1.16E-231,0.1724137882,0,0.1724137882,12.8518173,,,,,,,,,,,,,,,,,
"I am experiencing headache (severity: moderate) (time frame: gradual) (occurred: 1 - 3 hours) (side: front) (worsened by: psychological stress, being tired, menstruation, skipping meals) (unaffected by: bending forward, changes in sleep pattern, sneeze or.",I am experiencing the same symptoms. Do you have a fever or cough? And also what is the interval between bouts of caughing and headache? I am a,"Many possibilities.   Most people get a headache at some time, such as from colds, infections (usually viruses or sinusitis), lack of sleep, too much driving, long hours on the computer, stress at work, etc.  ..  A bad or severe headache, increasing headache, recurrent headache, weird headache, or one with other worrisome symptoms should be checked by one's primary care doctor or the ER. Can call one's Dr. first to chat.  Would you like to video or text chat with me?",0.7105263158,1.94E-232,0.131868128,0,0.08791208403,10.7771584,,,,,,,,,,,,,,,,,
"This may sound silly but Iâ€™m wondering, if touch something in store that has Coronavirus 19 on it and it gets on clothes should we go home wash them soon as possible then shower and new clothes on so it dont get on our stuff at home ?",Yes definitely. I would also recommend using a microfiber cloth to clean your hands and feet after using your phone or computer. I also recommend using acetaminophen (tylenol) for the sore throat and,"Washing clothes.   Although so far it has not been shown to live on surfaces like clothes for as long as it lives on surfaces like plastic and metal, it is definitely good hygienic practice to wash your clothes in the hottest water the garment allows.  Would you like to video or text chat with me?",0.6666666667,6.11E-232,0.202898546,0,0.202898546,12.8771991,,,,,,,,,,,,,,,,,
Re Covid 19 I understand the incubation period of Covid 19 is up to 14 days. But how long is the contagious period? I have read one is contagious 2 days before showing symptoms. Is that true? Are you still contagious until symptom free?,It depends on the virus and the person. Some viruses can be contagious for up to 14 day incubation period. Some viruses only show signs of symptoms after having been in contact with someone who has had the virus for at least 14 days,Covid. For most people the infection can last up to two weeks. In people who get particularly ill the infection last 4 to 6 weeks. .,0.7741935484,3.54E-155,0.1754385919,0.03076922611,0.1754385919,13.7967979,,,,,,,,,,,,,,,,,
"Hi I am a health worker and a chronic asthmatic, is it easier for me to contract Corona? Will I survive it with my comorbidity? Should I ask for special leave during this time? I already feel my sinus blocked, very minor sore throat, seldom dry cough.","No. Coronavirus     is a family of viruses, not a virus.    If you are not having significant SOB self isolation best to do is gargle","Check with PCP.   Data emerging from preliminary studies in France suggest a decades old medicine, chloroquine may be useful as a preventative drug.   It has been used to prevent malaria for decades & manufactures in the US have announced they are increasing production to meet an expected demand. Your status & what they are doing in your country should be answered by your doc.  Would you like to video or text chat with me?",0.6097560976,1.53E-232,0.09638553839,0,0.09638553839,11.9069034,,,,,,,,,,,,,,,,,
"Possible COVID-19 - mild symptoms - Next steps? Symptoms: - Initially: tight chest, stuffy nose - 10% difficulty breathing - Mildly feverish (hot and dry mouth, bit weak) for a few hours yesterday - Mostly fine this morning (5% breathing difficulty).","If you have a fever, cough or shortness of breath, please call your PCP right away. Most likely a non-specific viral cold. If your symptoms are worsening or your PCP isn",May confirm with.,0.5,0,0,0,0,11.9607898,,,,,,,,,,,,,,,,,
"Throat a bit sore and want to get a good imune booster, especially in light of the virus. Please advise. Have not been in contact with Nyone with the virus.","If sore throat and cough don't develop within a day or two after vomiting or diarrhea, probably no need to boost your immune system.If cough develops and doesn't clear in 2 days, boost immune system. If severe headache and doesn't go away, boost immune systems.If fever doesn't clear within","During this pandemic. Throat pain can be from a strep throat infection (antibiotics needed), a cold or influenza or other virus, or from some other cause such as allergies or irritants. Usually, a person sees the doctor (call first) if the sore throat is bothersome, recurrent, or doesn't go away quickly. COVID-19 infections tend to have cough, whereas strep throat usually lacks cough but has more throat pain. (3/21/20).",0.6136363636,2.93E-155,0.177777773,0.03571428091,0.1555555508,17.4080894,,,,,,,,,,,,,,,,,
"I have had a sore throat (glands enlarged in throat) for over a week and I have constant headache. Do I need COVID-19 test. If yes, how do a get someone to come to my house to test.","Call your doctor. Most doctors are open for emergencies only, and this probably falls into that category.   Call your doctor's office for instructions.  Would you like to video or text chat with me? I can send you my contact info. ","Testing.   People are still getting other illnesses than COVID.    Given no cough or shortness of breath, other than watchful waiting COVID should pass in a week or two. Strep, influenza still possible. This testing can be done through your own provider. You can also get your own strep test at pharmacy or many can swab you there.   Would you like to video or text chat with me?",0.7317073171,0.1233684743,0.2826086908,0.1730769184,0.2826086908,14.5746255,,,,,,,,,,,,,,,,,
Do I just go to a Dr to determine if it's a sinus infection or do I go get tested for COVID first? To not risk anyone in practice?,"If you are not having significant SOB self isolation best to do this as soon as possible. If significant SOB be seen. If not seen, treat the sinuses and ears with saline and corticosteroid cream.. If worsening SOB be performed. If worsening SOT be seen, consult your GP. In",Phone triage.   Call your GP's office for instructions and identify local resources.   Your symptoms are suggesting sinusitis (other causes still possible) that is frequently viral and self limited. Local regulations should also be followed in such circumstances. Self quarantine will work for all in trying to prevent the spread. Hydration and rest will also work regardless of what the cause for your symptoms is.  Would you like to video or text chat with me?,0.6046511628,7.35E-232,0.1874999954,0,0.1874999954,18.3898626,,,,,,,,,,,,,,,,,
"I have a dry cough and sore throat- it's been a week now and the cough seems to be getting worse- no runny nose or fever, sometimes a headache, no shortness of breath...should I get tested for covid19?",If you have access to testing then yes. If not then no. If you are living alone then no testing for now. Stay home and stay safe.. We are here for you. We are here to answer your questions. lt 3,COVID   Good guidelines can be found at cdc.  gov/coronavirus/2019.  You would be considered low risk. Symptoms last up to two weeks. High probability many will get the disease and testing leads to no change in action at this time.  No obvious therapy (however some encouraging possibilites) and for most people the virus runs its course without incidence. Stay put and talk to your provider.   Would you like to video or text chat with me?,0.5217391304,5.58E-232,0.1720430066,0,0.1505376303,14.6295025,,,,,,,,,,,,,,,,,
"If you've been infected by SARS-CoV-2, develop Covid-19 symptoms and recover, can you: 1) develop immunity to Covid-19 2) infect others after 14 days post-symptom onset & recovery 3) get re-infected later by SARS-CoV-2 despite developing immunity?",No     immunity does not protect you from a virus.    You are either infected or have the virus. Either way you,"Yes, Maybe, Maybe. We presume one is immune to a respiratory virus for a while after getting the infection (that's the way it is with other viruses). A few people have trouble with their antibodies and don't have much immunity. Shedding of viruses sometimes is longer than 14 days. In life, there will always be some people who get reinfected, for whatever reason. Usually one is immune after the infection. (3/21/20).",0.5,9.51E-233,0.1599999964,0,0.1599999964,9.7911718,,,,,,,,,,,,,,,,,
"If I get coronavirus, are there ways to avoid getting other illnesses as well, like pneumonia?","If you have had a previous exposure to COVID-19 you are automatically screened for the virus. If you have a positive test you are screened for the infection.. If you have had negative test you are not screened for the illness. You Bassically cannot be screened for the COVID virus if you have a negative test. If you had a positive test, you are screened as a","Coronavirus,   COVID-19 has high affinity to the lung, causing viral pneumonia.   Fortunately, most people get only mild respiratory symptoms. Those who have high risks (age over 65, chronic diseases) tend to get pneumonia and complications. The most important way to prevent the complications is not to get infection, practice common sense of prevention. If you catch the infection, start early treatment.  Would you like to video or text chat with me?",0.7045454545,3.06E-155,0.1627906932,0.01769911029,0.1395348793,21.1651924,,,,,,,,,,,,,,,,,
I was on a plane on March 8th have been home ever since self quarantine myself I have had headaches and runny throat I have 2 days left of my self quarantine should I be having worse symptoms by now ?,"If you had traveled to or from a high risk country on March 8, you should have had a low risk flight. If you have had a high risk flight, you should expect low risk symptoms.. If you have a low risk area, you should not have any symptoms.",COVID   These are HealthTap guidelines:https://www.  healthtap.com/blog/covid-19-care-guidelines/virtual-care-guidelines-for-covid-19?utm_campaign=COVID%20OUTREACH&utm_medium=email&_hsmi=84951814&_hsenc=p2ANqtz-_jlHAfqZrXrCncGR4mJ57eQcomM2TItlnybAQii_sH-f4IyZjpz7-eIVc1oKN2_qDpZnO3&utm_content=84951814&utm_source=hs_emailI agree your symptoms should be improving.  Contact provider.   Would you like to video or text chat with me?,0.4090909091,9.74E-232,0.2040816277,0,0.1632653011,15.828165,,,,,,,,,,,,,,,,,
"My son has a fever, I am concerned due to the coronavirus ?","It is unlikely to be COVID-19.    However, if he is not getting better we should alert the media and let them know.   Would you like to video or text chat with me?  Would you prefer to video or email chat with me...HiIt is unlikely that it is COVID- 19.   However, if the fever does not go away quickly, one might","Covid-19 unlikely.   The usual infections in your area of Kwa Zulu Natal are more likely to be the cause of his fever. If he is exposed to someone who is sick with Covid-19, then you need to be concerned.   Meanwhile, treat him as you would have treated him 2 months ago.  If he has shortness of breath or any form of difficulty breathing, get him to a doctor ASAP  Would you like to video or text chat with me?",0.7021276596,0.131234966,0.2990654157,0.1692307644,0.2990654157,22.2204638,,,,,,,,,,,,,,,,,
"Can coronavirus symptoms be mild for some people versus severe? For example, could it just involve being very fatigued, low grade fever for a few days and not the extreme symptoms? Or is it always a full blown cold and struggle to breathe?","It depends.     Usually a cold or the flu can be fatal.   However, in some cases thevatiests of the virus can be mild and the others can be fatal, depending on severity.   Would you",Symptoms vary.   Some may have no symptoms at all. Some can be life threatening.   Would you like to video or text chat with me?,0.75,4.65E-155,0.199999995,0.0754716932,0.199999995,13.8464018,,,,,,,,,,,,,,,,,
"Good day,  I am 29 weeks pregnant and my profession is teaching, I also have a 2 year old son.  My chest and throat is sore, I have a constant headache and feel dizzy at times. Is it necessary to get myself tested for the coronavirus?","Not necessary but recommended.   Yes, if your symptoms are worsening or your son is not improving or if you suspect he might have COVID-19, call your GP first and get instructions from there.","Can give Dr. a call.   Throat pain can be from a strep throat infection (antibiotics needed), a cold or influenza (antibiotics usually not used), or from other causes such as allergies, irritants, or COVID-19.   Usually, a person sees the doctor (call first) if the sore throat is bothersome, recurrent, or doesn't go away quickly. COVID-19 tends to have cough, whereas strep usually lacks cough but has more throat pain  Would you like to video or text chat with me?",0.6808510638,3.27E-232,0.1978021935,0,0.1538461495,12.6687767,,,,,,,,,,,,,,,,,
